,name,set_name,sdr,sir,isr,sar,baseline_sdr,baseline_sir,baseline_isr,baseline_sar
0,2b,wsj0_train,4.416816036381855,8.964409608120718,11.63340103702642,5.495506948011984,3.411521332097323e-10,0.24483959773637484,18.58143012747895,151.88597876017894
1,2b,wsj0_evaluation,1.6763563574753355,5.422524637233664,8.405901447013557,3.4758764050687683,3.6865822172771346e-10,0.4847581960395664,17.57101029792322,151.77897188783973
2,2b,timit_train,3.1093415366525026,6.879195354908623,9.537040602019774,5.291423875832281,1.076548992173798e-09,0.32523992320696343,16.339949202269942,152.03688064577037
3,2b,timit_evaluation,3.2187030480017347,6.933350617852543,9.53113766590853,5.498889411437598,5.887976106677684e-10,0.4451642263852994,16.294309967515925,152.06966659846415
4,2b,tedlium_train,0.6715781465923217,2.0962051115893923,7.169921243462224,2.9531326654527725,8.881784197001253e-18,0.1064476030904461,19.253321683311032,242.77197821387847
5,2b,tedlium_evaluation,0.7740282947049534,2.0337181674163904,6.743878240076265,2.8589325529288465,1.7763568394002505e-17,0.04925124807624415,19.21598686503478,244.8392877083348
6,2d,wsj0_train,5.7851178829419965,10.960984107087056,12.99690534808247,6.495033324094498,3.411521332097323e-10,0.24483959773637484,18.58143012747895,151.88597876017894
7,2d,wsj0_evaluation,2.7830662008264677,7.398376504756026,9.45362619943036,4.944555974218085,3.6865822172771346e-10,0.4847581960395664,17.57101029792322,151.77897188783973
8,2d,timit_train,4.2757580709495,8.563748176177846,10.644085606758235,6.209930170832235,1.076548992173798e-09,0.32523992320696343,16.339949202269942,152.03688064577037
9,2d,timit_evaluation,4.479081113373923,8.783184895698689,10.774789540707866,6.755648154446765,5.887976106677684e-10,0.4451642263852994,16.294309967515925,152.06966659846415
10,2d,tedlium_train,1.257766328282617,3.9922935628442286,8.208215332089775,3.5820299771722897,8.881784197001253e-18,0.1064476030904461,19.253321683311032,242.77197821387847
11,2d,tedlium_evaluation,1.600543368967159,4.252261753834324,8.209633665689708,3.6254891464813137,1.7763568394002505e-17,0.04925124807624415,19.21598686503478,244.8392877083348
12,3a,wsj0_train,4.696283035370389,9.475656149826102,11.874434080271001,5.725122381978471,3.411521332097323e-10,0.24483959773637484,18.58143012747895,151.88597876017894
13,3a,wsj0_evaluation,1.7258512856497383,5.85637020291103,8.499943190195282,3.7044374092704375,3.6865822172771346e-10,0.4847581960395664,17.57101029792322,151.77897188783973
14,3a,timit_train,3.4212726444533894,7.766698599188618,9.794204510119394,5.540240389526863,1.076548992173798e-09,0.32523992320696343,16.339949202269942,152.03688064577037
15,3a,timit_evaluation,3.6818594808403393,7.761102309471172,9.923736471559618,5.949652786899288,5.887976106677684e-10,0.4451642263852994,16.294309967515925,152.06966659846415
16,3a,tedlium_train,0.9566617853620477,3.3045601660180512,8.009629425801707,3.1462433603346414,8.881784197001253e-18,0.1064476030904461,19.253321683311032,242.77197821387847
17,3a,tedlium_evaluation,1.1796023211059465,3.2898679343926074,7.559019450105252,3.046478067224092,1.7763568394002505e-17,0.04925124807624415,19.21598686503478,244.8392877083348
