,name,set_name,sdr,sir,isr,sar,baseline_sdr,baseline_sir,baseline_isr,baseline_sar
0,3b,wsj0_train,5.7242217935716315,10.741544470805543,12.904551182966475,6.4574469686579725,3.411521332097323e-10,0.24483959773637484,18.58143012747895,151.88597876017894
1,3b,wsj0_evaluation,2.2831184928201442,6.658183563582347,9.035833189609596,4.3029426708724,3.6865822172771346e-10,0.4847581960395664,17.57101029792322,151.77897188783973
2,3b,timit_train,3.893049313169692,7.956898090586203,10.343456794654903,6.0676955050230195,1.076548992173798e-09,0.32523992320696343,16.339949202269942,152.03688064577037
3,3b,timit_evaluation,3.9035046177023633,8.010987896006078,10.209451968406396,6.426490830115674,5.887976106677684e-10,0.4451642263852994,16.294309967515925,152.06966659846415
4,3b,tedlium_train,1.2397667500778475,3.361491455266279,8.375465055019218,3.494361186687612,8.881784197001253e-18,0.1064476030904461,19.253321683311032,242.77197821387847
5,3b,tedlium_evaluation,1.1025726361056885,3.254503277007219,7.821347511908939,3.345524424570939,1.7763568394002505e-17,0.04925124807624415,19.21598686503478,244.8392877083348
6,3c,wsj0_train,0.7301370761393993,1.753831321989233,7.198580728900551,7.41500924498761,3.411521332097323e-10,0.24483959773637484,18.58143012747895,151.88597876017894
7,3c,wsj0_evaluation,0.669055063546468,1.5300190176331705,6.671174923110908,8.121830622558724,3.6865822172771346e-10,0.4847581960395664,17.57101029792322,151.77897188783973
8,3c,timit_train,0.544137141600921,1.648898998345023,6.487747310781936,8.629085708982602,1.076548992173798e-09,0.32523992320696343,16.339949202269942,152.03688064577037
9,3c,timit_evaluation,0.7505894675280709,1.4430098491876686,6.390732499633677,8.901059746271144,5.887976106677684e-10,0.4451642263852994,16.294309967515925,152.06966659846415
10,3c,tedlium_train,0.5637243793899569,0.3699176707339582,6.276516034924603,7.828521676640123,8.881784197001253e-18,0.1064476030904461,19.253321683311032,242.77197821387847
11,3c,tedlium_evaluation,0.7375176007463629,0.5662508999757009,6.374267774749483,8.114583897905803,1.7763568394002505e-17,0.04925124807624415,19.21598686503478,244.8392877083348
12,3d,wsj0_train,4.335085411615957,8.313105511792289,11.201236858133411,5.329027965483484,3.411521332097323e-10,0.24483959773637484,18.58143012747895,151.88597876017894
13,3d,wsj0_evaluation,1.4994033665587807,4.888574640544742,8.121015373794078,3.8010066582553104,3.6865822172771346e-10,0.4847581960395664,17.57101029792322,151.77897188783973
14,3d,timit_train,2.542270784491838,5.862841916218409,8.796863859138032,5.077160007758477,1.076548992173798e-09,0.32523992320696343,16.339949202269942,152.03688064577037
15,3d,timit_evaluation,2.772291791841941,6.255767754660597,9.078316712788835,5.758469529622818,5.887976106677684e-10,0.4451642263852994,16.294309967515925,152.06966659846415
16,3d,tedlium_train,0.795669838047086,2.3052674445921704,7.198142175383295,2.920295831975841,8.881784197001253e-18,0.1064476030904461,19.253321683311032,242.77197821387847
17,3d,tedlium_evaluation,0.9757159282905101,2.3280247279082498,6.878396056814431,2.7989115049900444,1.7763568394002505e-17,0.04925124807624415,19.21598686503478,244.8392877083348
