,name,set_name,sdr,sir,isr,sar,baseline_sdr,baseline_sir,baseline_isr,baseline_sar
0,5a,wsj0_train,5.589474953546938,10.988319797101731,13.063068734589642,6.742611570456456,3.411521332097323e-10,0.24483959773637484,18.58143012747895,151.88597876017894
1,5a,wsj0_evaluation,2.6703925623166778,7.350193121315007,9.495035976668884,4.80888205739913,3.6865822172771346e-10,0.4847581960395664,17.57101029792322,151.77897188783973
2,5a,timit_train,4.077400669171801,8.333004709258718,10.623191322533046,6.472273884536869,1.076548992173798e-09,0.32523992320696343,16.339949202269942,152.03688064577037
3,5a,timit_evaluation,4.431895570536678,8.662887413703334,10.719108629786101,6.908973380407879,5.887976106677684e-10,0.4451642263852994,16.294309967515925,152.06966659846415
4,5a,tedlium_train,1.0681083248874423,4.01884630112795,8.0018051480339,3.740147645796169,8.881784197001253e-18,0.1064476030904461,19.253321683311032,242.77197821387847
5,5a,tedlium_evaluation,1.7434491493880548,4.5513292031165165,8.177908133175482,3.991331767221917,1.7763568394002505e-17,0.04925124807624415,19.21598686503478,244.8392877083348
6,5b,wsj0_train,4.4807048023580265,9.939850620929274,11.986185501582904,6.055468791792984,3.411521332097323e-10,0.24483959773637484,18.58143012747895,151.88597876017894
7,5b,wsj0_evaluation,2.7061107034217007,7.268195087965303,9.328744977934477,5.074712231111472,3.6865822172771346e-10,0.4847581960395664,17.57101029792322,151.77897188783973
8,5b,timit_train,5.953178983885382,10.940921345385206,12.382071287985832,7.4968101843517525,1.076548992173798e-09,0.32523992320696343,16.339949202269942,152.03688064577037
9,5b,timit_evaluation,5.7075164690794535,10.69656084000734,11.922704994574552,7.7504092481114935,5.887976106677684e-10,0.4451642263852994,16.294309967515925,152.06966659846415
10,5b,tedlium_train,1.2072097953082317,3.8243567109427867,7.8481583246085895,3.9497174703784244,8.881784197001253e-18,0.1064476030904461,19.253321683311032,242.77197821387847
11,5b,tedlium_evaluation,1.9363671282212942,4.484920751403924,8.23974393353232,4.25441234784715,1.7763568394002505e-17,0.04925124807624415,19.21598686503478,244.8392877083348
12,5c,wsj0_train,0.7717869851098507,2.389717981463596,8.25552061233862,8.435812024140892,3.411521332097323e-10,0.24483959773637484,18.58143012747895,151.88597876017894
13,5c,wsj0_evaluation,-0.16112326035284374,2.3881180032402494,6.874596810215825,8.044495677886886,3.6865822172771346e-10,0.4847581960395664,17.57101029792322,151.77897188783973
14,5c,timit_train,0.24240440689748752,2.1543215344256765,6.738654429072739,9.999145831616945,1.076548992173798e-09,0.32523992320696343,16.339949202269942,152.03688064577037
15,5c,timit_evaluation,0.5094904434355597,2.1805523424572657,6.939060315834584,10.336176009179725,5.887976106677684e-10,0.4451642263852994,16.294309967515925,152.06966659846415
16,5c,tedlium_train,1.8130045166681794,3.893013773326632,8.157170014943418,4.347391596196327,8.881784197001253e-18,0.1064476030904461,19.253321683311032,242.77197821387847
17,5c,tedlium_evaluation,1.6306042733403825,3.611403888575664,7.764229577437934,4.175485525968685,1.7763568394002505e-17,0.04925124807624415,19.21598686503478,244.8392877083348
